week,streams,date_start,date
1,40362937,31.12.2021,06.01.2022
2,33459850,07.01.2022,13.01.2022
3,35495937,14.01.2022,20.01.2022
4,33290218,21.01.2022,27.01.2022
5,32961607,28.01.2022,03.02.2022
6,33782192,04.02.2022,10.02.2022
7,35299550,11.02.2022,17.02.2022
8,31202410,18.02.2022,24.02.2022
9,13357771,25.02.2022,03.03.2022
10,19118422,04.03.2022,10.03.2022
11,23618041,11.03.2022,17.03.2022
12,24883776,18.03.2022,24.03.2022
13,24533902,25.03.2022,31.03.2022
14,27845073,01.04.2022,07.04.2022
15,33865127,08.04.2022,14.04.2022
16,34156006,15.04.2022,21.04.2022
17,36246507,22.04.2022,28.04.2022
18,35844804,29.04.2022,05.05.2022
19,35385028,06.05.2022,12.05.2022
20,41822052,13.05.2022,19.05.2022
21,35230530,20.05.2022,26.05.2022
22,34100370,27.05.2022,02.06.2022
23,36898027,03.06.2022,09.06.2022
24,36184594,10.06.2022,16.06.2022
25,35894292,17.06.2022,23.06.2022
26,33751480,24.06.2022,30.06.2022
27,34425923,01.07.2022,07.07.2022
28,38542122,08.07.2022,14.07.2022
29,36727523,15.07.2022,21.07.2022
30,36332864,22.07.2022,28.07.2022
31,36692079,29.07.2022,04.08.2022
32,38476117,05.08.2022,11.08.2022
33,36422237,12.08.2022,18.08.2022
34,36835061,19.08.2022,25.08.2022
35,34983029,26.08.2022,01.09.2022
36,32565673,02.09.2022,08.09.2022
37,31873615,09.09.2022,15.09.2022
38,33483137,16.09.2022,22.09.2022
39,34306932,23.09.2022,29.09.2022
40,33446648,30.09.2022,06.10.2022
41,31901276,07.10.2022,13.10.2022
42,31686901,14.10.2022,20.10.2022
43,31882496,21.10.2022,27.10.2022
44,32245531,28.10.2022,03.11.2022
45,30727755,04.11.2022,10.11.2022
46,29114252,11.11.2022,17.11.2022
47,27184828,18.11.2022,24.11.2022
48,24646423,25.11.2022,01.12.2022
49,25189847,02.12.2022,08.12.2022
50,27171188,09.12.2022,15.12.2022
51,27126422,16.12.2022,22.12.2022
52,33262747,23.12.2022,29.12.2022
1,37559186,30.12.2022,05.01.2023
2,30595813,06.01.2023,12.01.2023
3,28433791,13.01.2023,19.01.2023
4,28874800,20.01.2023,26.01.2023
5,28669609,27.01.2023,02.02.2023
6,30448655,03.02.2023,09.02.2023
7,33707234,10.02.2023,16.02.2023
8,32880045,17.02.2023,23.02.2023
